Keyword,Category,Country,Date,Searches
linio,Marketplace,CL,11/1/2022,135000
linio,Marketplace,CL,12/1/2022,74000
linio,Marketplace,CL,1/1/2023,40500
linio,Marketplace,CL,2/1/2023,33100
linio,Marketplace,CL,3/1/2023,40500
linio,Marketplace,CL,4/1/2023,49500
linio,Marketplace,CL,5/1/2023,74000
linio,Marketplace,CL,6/1/2023,33100
linio,Marketplace,CL,7/1/2023,49500
linio,Marketplace,CL,8/1/2023,40500
linio,Marketplace,CL,9/1/2023,40500
linio,Marketplace,CL,10/1/2023,40500
linio,Marketplace,CL,11/1/2023,49500
linio,Marketplace,CL,12/1/2023,33100
linio,Marketplace,CL,1/1/2024,22200
linio,Marketplace,CL,2/1/2024,14800
linio,Marketplace,CL,3/1/2024,14800
linio,Marketplace,CL,4/1/2024,9900
linio,Marketplace,CL,5/1/2024,9900
linio,Marketplace,CL,6/1/2024,12100
linio,Marketplace,CL,7/1/2024,6600
linio,Marketplace,CL,8/1/2024,6600
linio,Marketplace,CL,9/1/2024,6600
linio,Marketplace,CL,10/1/2024,6600
linio,Marketplace,CL,11/1/2024,6600
linio,Marketplace,CL,12/1/2024,6600
linio,Marketplace,CL,1/1/2025,5400
linio,Marketplace,CL,2/1/2025,4400
linio,Marketplace,CL,3/1/2025,5400
linio,Marketplace,CL,4/1/2025,5400
linio,Marketplace,CL,5/1/2025,5400
linio,Marketplace,CL,6/1/2025,5400
linio,Marketplace,CL,7/1/2025,4400
linio,Marketplace,CL,8/1/2025,4400
linio,Marketplace,CL,9/1/2025,3600
linio,Marketplace,CL,10/1/2025,3600
mercado libre,Marketplace,CL,8/1/2021,2740000
mercado libre,Marketplace,CL,9/1/2021,2240000
mercado libre,Marketplace,CL,10/1/2021,2740000
mercado libre,Marketplace,CL,11/1/2021,2740000
mercado libre,Marketplace,CL,12/1/2021,2740000
mercado libre,Marketplace,CL,1/1/2022,2240000
mercado libre,Marketplace,CL,2/1/2022,2240000
mercado libre,Marketplace,CL,3/1/2022,2740000
mercado libre,Marketplace,CL,4/1/2022,2240000
mercado libre,Marketplace,CL,5/1/2022,2240000
mercado libre,Marketplace,CL,6/1/2022,2240000
mercado libre,Marketplace,CL,7/1/2022,2240000
mercado libre,Marketplace,CL,8/1/2022,2240000
mercado libre,Marketplace,CL,9/1/2022,1830000
mercado libre,Marketplace,CL,10/1/2022,2240000
mercado libre,Marketplace,CL,11/1/2022,2240000
mercado libre,Marketplace,CL,12/1/2022,2740000
mercado libre,Marketplace,CL,1/1/2023,1830000
mercado libre,Marketplace,CL,2/1/2023,1830000
mercado libre,Marketplace,CL,3/1/2023,1830000
mercado libre,Marketplace,CL,4/1/2023,1830000
mercado libre,Marketplace,CL,5/1/2023,2240000
mercado libre,Marketplace,CL,6/1/2023,1830000
mercado libre,Marketplace,CL,7/1/2023,1830000
mercado libre,Marketplace,CL,8/1/2023,1830000
mercado libre,Marketplace,CL,9/1/2023,1830000
mercado libre,Marketplace,CL,10/1/2023,2240000
mercado libre,Marketplace,CL,11/1/2023,2240000
mercado libre,Marketplace,CL,12/1/2023,2240000
mercado libre,Marketplace,CL,1/1/2024,1830000
mercado libre,Marketplace,CL,2/1/2024,1830000
mercado libre,Marketplace,CL,3/1/2024,1830000
mercado libre,Marketplace,CL,4/1/2024,1830000
mercado libre,Marketplace,CL,5/1/2024,1830000
mercado libre,Marketplace,CL,6/1/2024,1830000
mercado libre,Marketplace,CL,7/1/2024,1830000
mercado libre,Marketplace,CL,8/1/2024,1830000
mercado libre,Marketplace,CL,9/1/2024,1830000
mercado libre,Marketplace,CL,10/1/2024,1830000
mercado libre,Marketplace,CL,11/1/2024,1830000
mercado libre,Marketplace,CL,12/1/2024,2240000
mercado libre,Marketplace,CL,1/1/2025,1830000
mercado libre,Marketplace,CL,2/1/2025,1500000
mercado libre,Marketplace,CL,3/1/2025,1830000
mercado libre,Marketplace,CL,4/1/2025,1830000
mercado libre,Marketplace,CL,5/1/2025,1830000
mercado libre,Marketplace,CL,6/1/2025,1830000
mercado libre,Marketplace,CL,7/1/2025,1830000
mercado libre,Marketplace,CL,8/1/2025,1830000
mercado libre,Marketplace,CL,9/1/2025,1500000
mercado libre,Marketplace,CL,10/1/2025,1830000
mercado shops,Branded,CL,8/1/2021,390
mercado shops,Branded,CL,9/1/2021,590
mercado shops,Branded,CL,10/1/2021,590
mercado shops,Branded,CL,11/1/2021,720
mercado shops,Branded,CL,12/1/2021,480
mercado shops,Branded,CL,1/1/2022,480
mercado shops,Branded,CL,2/1/2022,480
mercado shops,Branded,CL,3/1/2022,880
mercado shops,Branded,CL,4/1/2022,880
mercado shops,Branded,CL,5/1/2022,1000
mercado shops,Branded,CL,6/1/2022,880
mercado shops,Branded,CL,7/1/2022,1000
mercado shops,Branded,CL,8/1/2022,1000
mercado shops,Branded,CL,9/1/2022,880
mercado shops,Branded,CL,10/1/2022,1000
mercado shops,Branded,CL,11/1/2022,1300
mercado shops,Branded,CL,12/1/2022,1000
mercado shops,Branded,CL,1/1/2023,1300
mercado shops,Branded,CL,2/1/2023,1000
mercado shops,Branded,CL,3/1/2023,880
mercado shops,Branded,CL,4/1/2023,880
mercado shops,Branded,CL,5/1/2023,880
mercado shops,Branded,CL,6/1/2023,880
mercado shops,Branded,CL,7/1/2023,880
mercado shops,Branded,CL,8/1/2023,880
mercado shops,Branded,CL,9/1/2023,720
mercado shops,Branded,CL,10/1/2023,880
mercado shops,Branded,CL,11/1/2023,880
mercado shops,Branded,CL,12/1/2023,720
mercado shops,Branded,CL,1/1/2024,720
mercado shops,Branded,CL,2/1/2024,1000
mercado shops,Branded,CL,3/1/2024,1000
mercado shops,Branded,CL,4/1/2024,880
mercado shops,Branded,CL,5/1/2024,880
mercado shops,Branded,CL,6/1/2024,720
mercado shops,Branded,CL,7/1/2024,720
mercado shops,Branded,CL,8/1/2024,720
mercado shops,Branded,CL,9/1/2024,720
mercado shops,Branded,CL,10/1/2024,720
mercado shops,Branded,CL,11/1/2024,590
mercado shops,Branded,CL,12/1/2024,480
mercado shops,Branded,CL,1/1/2025,880
mercado shops,Branded,CL,2/1/2025,480
mercado shops,Branded,CL,3/1/2025,480
mercado shops,Branded,CL,4/1/2025,480
mercado shops,Branded,CL,5/1/2025,390
mercado shops,Branded,CL,6/1/2025,390
mercado shops,Branded,CL,7/1/2025,390
mercado shops,Branded,CL,8/1/2025,390
mercado shops,Branded,CL,9/1/2025,320
mercado shops,Branded,CL,10/1/2025,320
paris,Marketplace,CL,8/1/2021,1830000
paris,Marketplace,CL,9/1/2021,1220000
paris,Marketplace,CL,10/1/2021,1830000
paris,Marketplace,CL,11/1/2021,1830000
paris,Marketplace,CL,12/1/2021,1830000
paris,Marketplace,CL,1/1/2022,1220000
paris,Marketplace,CL,2/1/2022,1220000
paris,Marketplace,CL,3/1/2022,1220000
paris,Marketplace,CL,4/1/2022,1220000
paris,Marketplace,CL,5/1/2022,1830000
paris,Marketplace,CL,6/1/2022,1500000
paris,Marketplace,CL,7/1/2022,1500000
paris,Marketplace,CL,8/1/2022,1220000
paris,Marketplace,CL,9/1/2022,1220000
paris,Marketplace,CL,10/1/2022,1500000
paris,Marketplace,CL,11/1/2022,1220000
paris,Marketplace,CL,12/1/2022,1500000
paris,Marketplace,CL,1/1/2023,1000000
paris,Marketplace,CL,2/1/2023,1000000
paris,Marketplace,CL,3/1/2023,1220000
paris,Marketplace,CL,4/1/2023,1220000
paris,Marketplace,CL,5/1/2023,1830000
paris,Marketplace,CL,6/1/2023,1000000
paris,Marketplace,CL,7/1/2023,1000000
paris,Marketplace,CL,8/1/2023,1000000
paris,Marketplace,CL,9/1/2023,1000000
paris,Marketplace,CL,10/1/2023,1500000
paris,Marketplace,CL,11/1/2023,1220000
paris,Marketplace,CL,12/1/2023,1500000
paris,Marketplace,CL,1/1/2024,1000000
paris,Marketplace,CL,2/1/2024,823000
paris,Marketplace,CL,3/1/2024,1000000
paris,Marketplace,CL,4/1/2024,1000000
paris,Marketplace,CL,5/1/2024,1000000
paris,Marketplace,CL,6/1/2024,1500000
paris,Marketplace,CL,7/1/2024,823000
paris,Marketplace,CL,8/1/2024,823000
paris,Marketplace,CL,9/1/2024,1000000
paris,Marketplace,CL,10/1/2024,1000000
paris,Marketplace,CL,11/1/2024,1000000
paris,Marketplace,CL,12/1/2024,1500000
paris,Marketplace,CL,1/1/2025,823000
paris,Marketplace,CL,2/1/2025,673000
paris,Marketplace,CL,3/1/2025,1000000
paris,Marketplace,CL,4/1/2025,1000000
paris,Marketplace,CL,5/1/2025,823000
paris,Marketplace,CL,6/1/2025,1500000
paris,Marketplace,CL,7/1/2025,823000
paris,Marketplace,CL,8/1/2025,823000
paris,Marketplace,CL,9/1/2025,673000
paris,Marketplace,CL,10/1/2025,1220000
prestashop,Branded,CL,8/1/2021,1900
prestashop,Branded,CL,9/1/2021,1900
prestashop,Branded,CL,10/1/2021,1600
prestashop,Branded,CL,11/1/2021,1600
prestashop,Branded,CL,12/1/2021,1300
prestashop,Branded,CL,1/1/2022,1600
prestashop,Branded,CL,2/1/2022,1300
prestashop,Branded,CL,3/1/2022,1600
prestashop,Branded,CL,4/1/2022,1600
prestashop,Branded,CL,5/1/2022,1600
prestashop,Branded,CL,6/1/2022,1300
prestashop,Branded,CL,7/1/2022,1600
prestashop,Branded,CL,8/1/2022,1300
prestashop,Branded,CL,9/1/2022,1300
prestashop,Branded,CL,10/1/2022,1600
prestashop,Branded,CL,11/1/2022,1600
prestashop,Branded,CL,12/1/2022,1000
prestashop,Branded,CL,1/1/2023,1300
prestashop,Branded,CL,2/1/2023,1000
prestashop,Branded,CL,3/1/2023,1300
prestashop,Branded,CL,4/1/2023,1300
prestashop,Branded,CL,5/1/2023,1600
prestashop,Branded,CL,6/1/2023,1300
prestashop,Branded,CL,7/1/2023,1300
prestashop,Branded,CL,8/1/2023,1300
prestashop,Branded,CL,9/1/2023,1000
prestashop,Branded,CL,10/1/2023,1000
prestashop,Branded,CL,11/1/2023,1000
prestashop,Branded,CL,12/1/2023,1000
prestashop,Branded,CL,1/1/2024,1000
prestashop,Branded,CL,2/1/2024,1000
prestashop,Branded,CL,3/1/2024,1000
prestashop,Branded,CL,4/1/2024,1300
prestashop,Branded,CL,5/1/2024,1000
prestashop,Branded,CL,6/1/2024,1300
prestashop,Branded,CL,7/1/2024,1000
prestashop,Branded,CL,8/1/2024,1300
prestashop,Branded,CL,9/1/2024,1000
prestashop,Branded,CL,10/1/2024,1000
prestashop,Branded,CL,11/1/2024,1000
prestashop,Branded,CL,12/1/2024,880
prestashop,Branded,CL,1/1/2025,1000
prestashop,Branded,CL,2/1/2025,880
prestashop,Branded,CL,3/1/2025,1000
prestashop,Branded,CL,4/1/2025,1000
prestashop,Branded,CL,5/1/2025,1000
prestashop,Branded,CL,6/1/2025,1000
prestashop,Branded,CL,7/1/2025,880
prestashop,Branded,CL,8/1/2025,880
prestashop,Branded,CL,9/1/2025,720
prestashop,Branded,CL,10/1/2025,880
ripley,Marketplace,CL,8/1/2021,4090000
ripley,Marketplace,CL,9/1/2021,3350000
ripley,Marketplace,CL,10/1/2021,4090000
ripley,Marketplace,CL,11/1/2021,3350000
ripley,Marketplace,CL,12/1/2021,4090000
ripley,Marketplace,CL,1/1/2022,2740000
ripley,Marketplace,CL,2/1/2022,2740000
ripley,Marketplace,CL,3/1/2022,2740000
ripley,Marketplace,CL,4/1/2022,2740000
ripley,Marketplace,CL,5/1/2022,4090000
ripley,Marketplace,CL,6/1/2022,3350000
ripley,Marketplace,CL,7/1/2022,2740000
ripley,Marketplace,CL,8/1/2022,2740000
ripley,Marketplace,CL,9/1/2022,2240000
ripley,Marketplace,CL,10/1/2022,4090000
ripley,Marketplace,CL,11/1/2022,2740000
ripley,Marketplace,CL,12/1/2022,3350000
ripley,Marketplace,CL,1/1/2023,2240000
ripley,Marketplace,CL,2/1/2023,2240000
ripley,Marketplace,CL,3/1/2023,2740000
ripley,Marketplace,CL,4/1/2023,2240000
ripley,Marketplace,CL,5/1/2023,4090000
ripley,Marketplace,CL,6/1/2023,2740000
ripley,Marketplace,CL,7/1/2023,2240000
ripley,Marketplace,CL,8/1/2023,2240000
ripley,Marketplace,CL,9/1/2023,1830000
ripley,Marketplace,CL,10/1/2023,2740000
ripley,Marketplace,CL,11/1/2023,2240000
ripley,Marketplace,CL,12/1/2023,2740000
ripley,Marketplace,CL,1/1/2024,1830000
ripley,Marketplace,CL,2/1/2024,1830000
ripley,Marketplace,CL,3/1/2024,1830000
ripley,Marketplace,CL,4/1/2024,1830000
ripley,Marketplace,CL,5/1/2024,1830000
ripley,Marketplace,CL,6/1/2024,2740000
ripley,Marketplace,CL,7/1/2024,1830000
ripley,Marketplace,CL,8/1/2024,1500000
ripley,Marketplace,CL,9/1/2024,1830000
ripley,Marketplace,CL,10/1/2024,1830000
ripley,Marketplace,CL,11/1/2024,1830000
ripley,Marketplace,CL,12/1/2024,2240000
ripley,Marketplace,CL,1/1/2025,1500000
ripley,Marketplace,CL,2/1/2025,1220000
ripley,Marketplace,CL,3/1/2025,1500000
ripley,Marketplace,CL,4/1/2025,1500000
ripley,Marketplace,CL,5/1/2025,1500000
ripley,Marketplace,CL,6/1/2025,2240000
ripley,Marketplace,CL,7/1/2025,1500000
ripley,Marketplace,CL,8/1/2025,1500000
ripley,Marketplace,CL,9/1/2025,1220000
ripley,Marketplace,CL,10/1/2025,1830000
shopify,Branded,CL,8/1/2021,27100
shopify,Branded,CL,9/1/2021,27100
shopify,Branded,CL,10/1/2021,27100
shopify,Branded,CL,11/1/2021,22200
shopify,Branded,CL,12/1/2021,22200
shopify,Branded,CL,1/1/2022,27100
shopify,Branded,CL,2/1/2022,27100
shopify,Branded,CL,3/1/2022,27100
shopify,Branded,CL,4/1/2022,27100
shopify,Branded,CL,5/1/2022,27100
shopify,Branded,CL,6/1/2022,27100
