carrier_name,shipping_option_code,shipping_option_result,partner,service,last_update
Dropi Fretes,3888986,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3887147,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3885803,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3842921,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3902984,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3901159,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4776552,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4771239,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4770384,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4764588,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4758369,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4758279,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4758149,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4514423,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4513245,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4510448,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4509229,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3858440,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3856717,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3855902,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3822857,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3822179,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3822177,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3819138,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
